 Eigenvectors and eigenvalues of the dynamical matrix
 ----------------------------------------------------


   1 f  =  120.525158 THz   757.281901 2PiTHz 4020.286398 cm-1   498.452165 meV
             X         Y         Z           dx          dy          dz
      1.580000  0.922000  7.792000            0           0           0  
      4.739000  0.922000  7.792000            0           0           0  
      7.898000  0.922000  7.792000            0           0           0  
     11.057999  0.922000  7.792000            0           0           0  
      3.159000  3.673000  7.792000            0           0           0  
      6.319000  3.673000  7.792000    -0.000014    0.000016   -0.000071  
      9.478000  3.673000  7.792000    -0.000002   -0.000029   -0.000004  
     12.637000  3.673000  7.792000     0.000011    0.000013   -0.000062  
      4.739000  6.424000  7.792000            0           0           0  
      7.897999  6.424000  7.792000    -0.000009   -0.000009   -0.000009  
     11.058000  6.424000  7.792000     0.000009   -0.000008   -0.000008  
     14.217000  6.424000  7.792000            0           0           0  
      6.319000  9.175000  7.792000            0           0           0  
      9.477999  9.175000  7.792000            0           0           0  
     12.637000  9.175000  7.792000            0           0           0  
     15.797000  9.175000  7.792000            0           0           0  
      0.000000  0.000000  1.596000            0           0           0  
      3.159000  0.000000  1.596000            0           0           0  
      6.318999  0.000000  1.596000            0           0           0  
      9.477999  0.000000  1.596000            0           0           0  
      1.580000  2.751000  1.596000            0           0           0  
      4.739000  2.751000  1.596000            0           0           0  
      7.898000  2.751000  1.596000            0           0           0  
     11.058000  2.751000  1.596000            0           0           0  
      3.159000  5.502000  1.596000            0           0           0  
      6.319000  5.502000  1.596000            0           0           0  
      9.478000  5.502000  1.596000            0           0           0  
     12.637000  5.502000  1.596000            0           0           0  
      4.739000  8.253000  1.596000            0           0           0  
      7.897999  8.253000  1.596000            0           0           0  
     11.058000  8.253000  1.596000            0           0           0  
     14.217000  8.253000  1.596000            0           0           0  
     12.637000  0.003000  6.220000            0           0           0  
      3.159000  0.003000  6.220000            0           0           0  
      6.319000  0.003000  6.220000            0           0           0  
      9.478000  0.003000  6.220000            0           0           0  
     14.217000  2.754000  6.220000            0           0           0  
      4.739000  2.754000  6.220000            0           0           0  
      7.898000  2.754000  6.220000            0           0           0  
     11.057999  2.754000  6.220000            0           0           0  
     15.797000  5.505000  6.220000            0           0           0  
      6.319000  5.505000  6.220000            0           0           0  
      9.478000  5.505000  6.220000            0           0           0  
     12.637000  5.505000  6.220000            0           0           0  
     17.376000  8.255999  6.220000            0           0           0  
      7.898000  8.255999  6.220000            0           0           0  
     11.057999  8.255999  6.220000            0           0           0  
     14.217000  8.255999  6.220000            0           0           0  
     12.638000  0.002000  9.366000            0           0           0  
      3.160000  0.003000  9.365000            0           0           0  
      6.320000  0.004000  9.365000            0           0           0  
      9.478000  0.003000  9.365000            0           0           0  
     14.215999  2.755000  9.365000            0           0           0  
      4.740000  2.754000  9.364000            0           0           0  
      7.899000  2.754000  9.366000     0.000417   -0.000213    0.000338  
     11.057000  2.754000  9.366000    -0.000337   -0.000157    0.000251  
     15.796000  5.505000  9.366000            0           0           0  
      6.319000  5.505000  9.366000    -0.000010    0.000026    0.000025  
      9.479999  5.508000  9.363000     0.000000    0.000030    0.000056  
     12.637999  5.506000  9.365000     0.000007    0.000021    0.000021  
      4.741000  8.255999  9.366000            0           0           0  
      7.899000  8.255999  9.365000            0           0           0  
     11.058000  8.254000  9.359001     0.000001   -0.000005   -0.000015  
     14.217000  8.257000  9.365000    -0.000009   -0.000012    0.000018  
      1.580000  0.919000  0.025000            0           0           0  
      4.739000  0.919000  0.025000            0           0           0  
      7.897999  0.919000  0.025000            0           0           0  
     11.058000  0.919000  0.025000            0           0           0  
      3.159000  3.670000  0.025000            0           0           0  
      6.319000  3.670000  0.025000            0           0           0  
      9.478000  3.670000  0.025000            0           0           0  
     12.637000  3.670000  0.025000            0           0           0  
      4.739000  6.421000  0.025000            0           0           0  
      7.898000  6.421000  0.025000            0           0           0  
     11.058000  6.421000  0.025000            0           0           0  
     14.217000  6.421000  0.025000            0           0           0  
      6.319000  9.172000  0.025000            0           0           0  
      9.478000  9.172000  0.025000            0           0           0  
     12.637000  9.172000  0.025000            0           0           0  
     15.797000  9.172000  0.025000            0           0           0  
      1.580000  0.919000  3.168000            0           0           0  
      4.739000  0.919000  3.168000            0           0           0  
      7.897999  0.919000  3.168000            0           0           0  
     11.058000  0.919000  3.168000            0           0           0  
      3.159000  3.670000  3.168000            0           0           0  
      6.319000  3.670000  3.168000            0           0           0  
      9.478000  3.670000  3.168000            0           0           0  
     12.637000  3.670000  3.168000            0           0           0  
      4.739000  6.421000  3.168000            0           0           0  
      7.898000  6.421000  3.168000            0           0           0  
     11.058000  6.421000  3.168000            0           0           0  
     14.217000  6.421000  3.168000            0           0           0  
      6.319000  9.172000  3.168000            0           0           0  
      9.478000  9.172000  3.168000            0           0           0  
     12.637000  9.172000  3.168000            0           0           0  
     15.797000  9.172000  3.168000            0           0           0  
      9.410000  4.080000 12.461000    -0.000040   -0.002879    0.002123  
     10.636000  4.750000 12.415000    -0.000062    0.000833   -0.000467  
     10.659000  6.146000 12.364000     0.000069   -0.000098   -0.000192  
      9.464000  6.871000 12.354000     0.000013    0.000104    0.000025  
      8.242000  6.193000 12.387000    -0.000083   -0.000105   -0.000188  
      8.211000  4.798000 12.438000     0.000120    0.000846   -0.000475  
     11.559000  4.167000 12.412000    -0.001178   -0.000667    0.001729  
     11.617000  6.669000 12.329001     0.000932    0.001510    0.000485  
      9.485000  7.961000 12.314000    -0.000028    0.000741    0.000522  
      7.305000  6.754000 12.371001    -0.000986    0.001455    0.000431  
      7.266000  4.252000 12.453000     0.000974   -0.000940    0.001791  
      9.387999  2.354000 13.367000     0.001186   -0.022003    0.114099  
      9.382000  2.274000 11.609000    -0.001288    0.448936    0.844539  
      9.382000  2.684000 12.452000    -0.000064   -0.025698   -0.061707  

   2 f  =  100.979316 THz   634.471753 2PiTHz 3368.307308 cm-1   417.617031 meV
             X         Y         Z           dx          dy          dz
      1.580000  0.922000  7.792000            0           0           0  
      4.739000  0.922000  7.792000            0           0           0  
      7.898000  0.922000  7.792000            0           0           0  
     11.057999  0.922000  7.792000            0           0           0  
      3.159000  3.673000  7.792000            0           0           0  
      6.319000  3.673000  7.792000    -0.000010   -0.000005   -0.000073  
      9.478000  3.673000  7.792000    -0.000006   -0.000017    0.000011  
     12.637000  3.673000  7.792000     0.000015    0.000000   -0.000064  
      4.739000  6.424000  7.792000            0           0           0  
      7.897999  6.424000  7.792000     0.000002   -0.000003   -0.000010  
     11.058000  6.424000  7.792000     0.000003   -0.000004   -0.000011  
     14.217000  6.424000  7.792000            0           0           0  
      6.319000  9.175000  7.792000            0           0           0  
      9.477999  9.175000  7.792000            0           0           0  
     12.637000  9.175000  7.792000            0           0           0  
     15.797000  9.175000  7.792000            0           0           0  
      0.000000  0.000000  1.596000            0           0           0  
      3.159000  0.000000  1.596000            0           0           0  
      6.318999  0.000000  1.596000            0           0           0  
      9.477999  0.000000  1.596000            0           0           0  
      1.580000  2.751000  1.596000            0           0           0  
      4.739000  2.751000  1.596000            0           0           0  
      7.898000  2.751000  1.596000            0           0           0  
     11.058000  2.751000  1.596000            0           0           0  
      3.159000  5.502000  1.596000            0           0           0  
      6.319000  5.502000  1.596000            0           0           0  
      9.478000  5.502000  1.596000            0           0           0  
     12.637000  5.502000  1.596000            0           0           0  
      4.739000  8.253000  1.596000            0           0           0  
      7.897999  8.253000  1.596000            0           0           0  
     11.058000  8.253000  1.596000            0           0           0  
     14.217000  8.253000  1.596000            0           0           0  
     12.637000  0.003000  6.220000            0           0           0  
      3.159000  0.003000  6.220000            0           0           0  
      6.319000  0.003000  6.220000            0           0           0  
      9.478000  0.003000  6.220000            0           0           0  
     14.217000  2.754000  6.220000            0           0           0  
      4.739000  2.754000  6.220000            0           0           0  
      7.898000  2.754000  6.220000            0           0           0  
     11.057999  2.754000  6.220000            0           0           0  
     15.797000  5.505000  6.220000            0           0           0  
      6.319000  5.505000  6.220000            0           0           0  
      9.478000  5.505000  6.220000            0           0           0  
     12.637000  5.505000  6.220000            0           0           0  
     17.376000  8.255999  6.220000            0           0           0  
      7.898000  8.255999  6.220000            0           0           0  
     11.057999  8.255999  6.220000            0           0           0  
     14.217000  8.255999  6.220000            0           0           0  
     12.638000  0.002000  9.366000            0           0           0  
      3.160000  0.003000  9.365000            0           0           0  
      6.320000  0.004000  9.365000            0           0           0  
      9.478000  0.003000  9.365000            0           0           0  
     14.215999  2.755000  9.365000            0           0           0  
      4.740000  2.754000  9.364000            0           0           0  
      7.899000  2.754000  9.366000     0.000016    0.000050   -0.000081  
     11.057000  2.754000  9.366000    -0.000024    0.000044   -0.000061  
     15.796000  5.505000  9.366000            0           0           0  
      6.319000  5.505000  9.366000     0.000012   -0.000018   -0.000024  
      9.479999  5.508000  9.363000    -0.000005   -0.000039    0.000043  
     12.637999  5.506000  9.365000    -0.000012   -0.000018   -0.000029  
      4.741000  8.255999  9.366000            0           0           0  
      7.899000  8.255999  9.365000            0           0           0  
     11.058000  8.254000  9.359001     0.000011   -0.000001   -0.000050  
     14.217000  8.257000  9.365000     0.000007    0.000011   -0.000019  
      1.580000  0.919000  0.025000            0           0           0  
      4.739000  0.919000  0.025000            0           0           0  
      7.897999  0.919000  0.025000            0           0           0  
     11.058000  0.919000  0.025000            0           0           0  
      3.159000  3.670000  0.025000            0           0           0  
      6.319000  3.670000  0.025000            0           0           0  
      9.478000  3.670000  0.025000            0           0           0  
     12.637000  3.670000  0.025000            0           0           0  
      4.739000  6.421000  0.025000            0           0           0  
      7.898000  6.421000  0.025000            0           0           0  
     11.058000  6.421000  0.025000            0           0           0  
     14.217000  6.421000  0.025000            0           0           0  
      6.319000  9.172000  0.025000            0           0           0  
      9.478000  9.172000  0.025000            0           0           0  
     12.637000  9.172000  0.025000            0           0           0  
     15.797000  9.172000  0.025000            0           0           0  
      1.580000  0.919000  3.168000            0           0           0  
      4.739000  0.919000  3.168000            0           0           0  
      7.897999  0.919000  3.168000            0           0           0  
     11.058000  0.919000  3.168000            0           0           0  
      3.159000  3.670000  3.168000            0           0           0  
      6.319000  3.670000  3.168000            0           0           0  
      9.478000  3.670000  3.168000            0           0           0  
     12.637000  3.670000  3.168000            0           0           0  
      4.739000  6.421000  3.168000            0           0           0  
      7.898000  6.421000  3.168000            0           0           0  
     11.058000  6.421000  3.168000            0           0           0  
     14.217000  6.421000  3.168000            0           0           0  
      6.319000  9.172000  3.168000            0           0           0  
      9.478000  9.172000  3.168000            0           0           0  
     12.637000  9.172000  3.168000            0           0           0  
     15.797000  9.172000  3.168000            0           0           0  
      9.410000  4.080000 12.461000    -0.000036   -0.006996   -0.003001  
     10.636000  4.750000 12.415000    -0.000144    0.001400    0.000576  
     10.659000  6.146000 12.364000    -0.000429   -0.000185    0.000022  
      9.464000  6.871000 12.354000    -0.000060   -0.000521    0.000007  
      8.242000  6.193000 12.387000     0.000553   -0.000184    0.000006  
      8.211000  4.798000 12.438000     0.000210    0.001384    0.000578  
     11.559000  4.167000 12.412000    -0.007899    0.000809    0.000798  
     11.617000  6.669000 12.329001     0.007415    0.006461    0.000544  
      9.485000  7.961000 12.314000     0.000007    0.007865    0.000947  
      7.305000  6.754000 12.371001    -0.007982    0.006875    0.000438  
      7.266000  4.252000 12.453000     0.007243   -0.000080    0.000999  
      9.387999  2.354000 13.367000    -0.006004    0.376362   -0.884214  
      9.382000  2.274000 11.609000     0.001686    0.094412    0.123951  
      9.382000  2.684000 12.452000     0.000301   -0.026734    0.049757  

   3 f  =   94.175792 THz   591.723953 2PiTHz 3141.366193 cm-1   389.479909 meV
             X         Y         Z           dx          dy          dz
      1.580000  0.922000  7.792000            0           0           0  
      4.739000  0.922000  7.792000            0           0           0  
      7.898000  0.922000  7.792000            0           0           0  
     11.057999  0.922000  7.792000            0           0           0  
      3.159000  3.673000  7.792000            0           0           0  
      6.319000  3.673000  7.792000    -0.000000   -0.000001    0.000004  
      9.478000  3.673000  7.792000    -0.000000    0.000002   -0.000001  
     12.637000  3.673000  7.792000    -0.000000   -0.000002    0.000004  
      4.739000  6.424000  7.792000            0           0           0  
      7.897999  6.424000  7.792000     0.000003   -0.000001   -0.000001  
     11.058000  6.424000  7.792000    -0.000003    0.000001   -0.000002  
     14.217000  6.424000  7.792000            0           0           0  
      6.319000  9.175000  7.792000            0           0           0  
      9.477999  9.175000  7.792000            0           0           0  
     12.637000  9.175000  7.792000            0           0           0  
     15.797000  9.175000  7.792000            0           0           0  
      0.000000  0.000000  1.596000            0           0           0  
      3.159000  0.000000  1.596000            0           0           0  
      6.318999  0.000000  1.596000            0           0           0  
      9.477999  0.000000  1.596000            0           0           0  
      1.580000  2.751000  1.596000            0           0           0  
      4.739000  2.751000  1.596000            0           0           0  
      7.898000  2.751000  1.596000            0           0           0  
     11.058000  2.751000  1.596000            0           0           0  
      3.159000  5.502000  1.596000            0           0           0  
      6.319000  5.502000  1.596000            0           0           0  
      9.478000  5.502000  1.596000            0           0           0  
     12.637000  5.502000  1.596000            0           0           0  
      4.739000  8.253000  1.596000            0           0           0  
      7.897999  8.253000  1.596000            0           0           0  
     11.058000  8.253000  1.596000            0           0           0  
     14.217000  8.253000  1.596000            0           0           0  
     12.637000  0.003000  6.220000            0           0           0  
      3.159000  0.003000  6.220000            0           0           0  
      6.319000  0.003000  6.220000            0           0           0  
      9.478000  0.003000  6.220000            0           0           0  
     14.217000  2.754000  6.220000            0           0           0  
      4.739000  2.754000  6.220000            0           0           0  
      7.898000  2.754000  6.220000            0           0           0  
     11.057999  2.754000  6.220000            0           0           0  
     15.797000  5.505000  6.220000            0           0           0  
      6.319000  5.505000  6.220000            0           0           0  
      9.478000  5.505000  6.220000            0           0           0  
     12.637000  5.505000  6.220000            0           0           0  
     17.376000  8.255999  6.220000            0           0           0  
      7.898000  8.255999  6.220000            0           0           0  
     11.057999  8.255999  6.220000            0           0           0  
     14.217000  8.255999  6.220000            0           0           0  
     12.638000  0.002000  9.366000            0           0           0  
      3.160000  0.003000  9.365000            0           0           0  
      6.320000  0.004000  9.365000            0           0           0  
      9.478000  0.003000  9.365000            0           0           0  
     14.215999  2.755000  9.365000            0           0           0  
      4.740000  2.754000  9.364000            0           0           0  
      7.899000  2.754000  9.366000    -0.000010    0.000006    0.000001  
     11.057000  2.754000  9.366000     0.000005    0.000001    0.000002  
     15.796000  5.505000  9.366000            0           0           0  
      6.319000  5.505000  9.366000     0.000007    0.000002    0.000006  
      9.479999  5.508000  9.363000     0.000003    0.000004    0.000012  
     12.637999  5.506000  9.365000    -0.000009    0.000007    0.000009  
      4.741000  8.255999  9.366000            0           0           0  
      7.899000  8.255999  9.365000            0           0           0  
     11.058000  8.254000  9.359001    -0.000013   -0.000012    0.000016  
     14.217000  8.257000  9.365000     0.000005   -0.000000   -0.000006  
      1.580000  0.919000  0.025000            0           0           0  
      4.739000  0.919000  0.025000            0           0           0  
      7.897999  0.919000  0.025000            0           0           0  
     11.058000  0.919000  0.025000            0           0           0  
      3.159000  3.670000  0.025000            0           0           0  
      6.319000  3.670000  0.025000            0           0           0  
