     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -29.30203     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -29.18703     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -29.07203     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.95703     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.84203     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.72703     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.61203     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.49703     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.38203     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.26703    -0.00000    -0.00000    -0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00000
   -28.15203    -0.00000    -0.00000    -0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00000
   -28.03703    -0.00000    -0.00000    -0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00000
   -27.92203    -0.00000    -0.00000    -0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00000
   -27.80703    -0.00000    -0.00000    -0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00000
   -27.69203    -0.00000    -0.00000    -0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00000
   -27.57703    -0.00004    -0.00000    -0.00000    -0.00002     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00006
   -27.46203    -0.00043    -0.00000    -0.00000    -0.00022     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00065
   -27.34703    -0.00269    -0.00003    -0.00001    -0.00136     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00408
   -27.23203    -0.01006    -0.00010    -0.00002    -0.00507     0.00000     0.00000     0.00000     0.00000     0.00000    -0.01525
   -27.11703    -0.02388    -0.00025    -0.00004    -0.01205     0.00000     0.00000     0.00000     0.00000     0.00000    -0.03622
   -27.00203    -0.03911    -0.00040    -0.00007    -0.01972     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05931
   -26.88703    -0.04897    -0.00051    -0.00009    -0.02470     0.00000     0.00000     0.00000     0.00000     0.00000    -0.07427
   -26.77203    -0.05268    -0.00054    -0.00010    -0.02657     0.00000     0.00000     0.00000     0.00000     0.00000    -0.07989
   -26.65703    -0.05347    -0.00055    -0.00010    -0.02697     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08109
   -26.54203    -0.05356    -0.00055    -0.00010    -0.02701     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08123
   -26.42703    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -26.31203    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -26.19703    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -26.08203    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -25.96703    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -25.85203    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -25.73703    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -25.62203    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -25.50803    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -25.39303    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -25.27803    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -25.16303    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -25.04803    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -24.93303    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -24.81803    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -24.70303    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -24.58803    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -24.47303    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -24.35803    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -24.24303    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -24.12803    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -24.01303    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -23.89803    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -23.78303    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -23.66803    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -23.55303    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -23.43803    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -23.32303    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -23.20803    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -23.09303    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -22.97803    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -22.86303    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -22.74803    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -22.63303    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -22.51803    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -22.40303    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -22.28803    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -22.17303    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -22.05803    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -21.94303    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -21.82803    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -21.71303    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -21.59803    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -21.48303    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -21.36803    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -21.25303    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -21.13803    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -21.02303    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -20.90903    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -20.79403    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -20.67903    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -20.56403    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -20.44903    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -20.33403    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -20.21903    -0.05357    -0.00055    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08124
   -20.10403    -0.05367    -0.00056    -0.00010    -0.02702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08135
   -19.98903    -0.05504    -0.00063    -0.00010    -0.02710     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08287
   -19.87403    -0.06579    -0.00116    -0.00010    -0.02772     0.00000     0.00000     0.00000     0.00000     0.00000    -0.09477
   -19.75903    -0.11252    -0.00350    -0.00010    -0.03040     0.00000     0.00000     0.00000     0.00000     0.00000    -0.14652
   -19.64403    -0.22814    -0.00928    -0.00010    -0.03703     0.00000     0.00000     0.00000     0.00000     0.00000    -0.27456
   -19.52903    -0.39455    -0.01761    -0.00010    -0.04658     0.00000     0.00000     0.00000     0.00000     0.00000    -0.45884
   -19.41403    -0.53560    -0.02466    -0.00010    -0.05468     0.00000     0.00000     0.00000     0.00000     0.00000    -0.61504
   -19.29903    -0.60560    -0.02816    -0.00010    -0.05869     0.00000     0.00000     0.00000     0.00000     0.00000    -0.69256
   -19.18403    -0.62554    -0.02916    -0.00010    -0.05984     0.00000     0.00000     0.00000     0.00000     0.00000    -0.71464
   -19.06903    -0.62872    -0.02932    -0.00010    -0.06002     0.00000     0.00000     0.00000     0.00000     0.00000    -0.71816
   -18.95403    -0.62900    -0.02933    -0.00010    -0.06004     0.00000     0.00000     0.00000     0.00000     0.00000    -0.71847
   -18.83903    -0.62901    -0.02933    -0.00010    -0.06004     0.00000     0.00000     0.00000     0.00000     0.00000    -0.71849
   -18.72403    -0.62901    -0.02933    -0.00010    -0.06004     0.00000     0.00000     0.00000     0.00000     0.00000    -0.71849
   -18.60903    -0.62901    -0.02933    -0.00010    -0.06004     0.00000     0.00000     0.00000     0.00000     0.00000    -0.71849
   -18.49403    -0.62901    -0.02933    -0.00010    -0.06004     0.00000     0.00000     0.00000     0.00000     0.00000    -0.71849
   -18.37903    -0.62901    -0.02933    -0.00010    -0.06004     0.00000     0.00000     0.00000     0.00000     0.00000    -0.71849
   -18.26403    -0.62901    -0.02933    -0.00010    -0.06004     0.00000     0.00000     0.00000     0.00000     0.00000    -0.71849
   -18.14903    -0.62901    -0.02933    -0.00010    -0.06004     0.00000     0.00000     0.00000     0.00000     0.00000    -0.71849
   -18.03403    -0.62901    -0.02933    -0.00010    -0.06004     0.00000     0.00000     0.00000     0.00000     0.00000    -0.71849
   -17.91903    -0.62901    -0.02933    -0.00010    -0.06004     0.00000     0.00000     0.00000     0.00000     0.00000    -0.71849
   -17.80403    -0.62901    -0.02933    -0.00010    -0.06004     0.00000     0.00000     0.00000     0.00000     0.00000    -0.71849
   -17.68903    -0.62901    -0.02933    -0.00010    -0.06004     0.00000     0.00000     0.00000     0.00000     0.00000    -0.71849
   -17.57403    -0.62901    -0.02933    -0.00010    -0.06004     0.00000     0.00000     0.00000     0.00000     0.00000    -0.71849
   -17.45903    -0.62904    -0.02934    -0.00010    -0.06004     0.00000     0.00000     0.00000     0.00000     0.00000    -0.71851
   -17.34403    -0.62955    -0.02937    -0.00010    -0.06008     0.00000     0.00000     0.00000     0.00000     0.00000    -0.71910
