     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -29.30203     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -29.18703     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -29.07203     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.95703     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.84203     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.72703     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.61203     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.49703     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.38203     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.26703    -0.00000    -0.00000    -0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00000
   -28.15203    -0.00000    -0.00000    -0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00000
   -28.03703    -0.00000    -0.00000    -0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00000
   -27.92203    -0.00000    -0.00000    -0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00000
   -27.80703    -0.00000    -0.00000    -0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00000
   -27.69203    -0.00000    -0.00000    -0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00001
   -27.57703    -0.00008    -0.00000    -0.00002    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00010
   -27.46203    -0.00090    -0.00000    -0.00018    -0.00003     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00111
   -27.34703    -0.00565    -0.00000    -0.00111    -0.00019     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00695
   -27.23203    -0.02113    -0.00001    -0.00417    -0.00070     0.00000     0.00000     0.00000     0.00000     0.00000    -0.02600
   -27.11703    -0.05018    -0.00003    -0.00990    -0.00165     0.00000     0.00000     0.00000     0.00000     0.00000    -0.06176
   -27.00203    -0.08217    -0.00005    -0.01620    -0.00271     0.00000     0.00000     0.00000     0.00000     0.00000    -0.10113
   -26.88703    -0.10289    -0.00006    -0.02029    -0.00339     0.00000     0.00000     0.00000     0.00000     0.00000    -0.12664
   -26.77203    -0.11068    -0.00007    -0.02183    -0.00365     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13622
   -26.65703    -0.11234    -0.00007    -0.02215    -0.00370     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13827
   -26.54203    -0.11254    -0.00007    -0.02219    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13851
   -26.42703    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13852
   -26.31203    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -26.19703    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -26.08203    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -25.96703    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -25.85203    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -25.73703    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -25.62203    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -25.50803    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -25.39303    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -25.27803    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -25.16303    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -25.04803    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -24.93303    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -24.81803    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -24.70303    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -24.58803    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -24.47303    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -24.35803    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -24.24303    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -24.12803    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -24.01303    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -23.89803    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -23.78303    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -23.66803    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -23.55303    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -23.43803    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -23.32303    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -23.20803    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -23.09303    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -22.97803    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -22.86303    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -22.74803    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -22.63303    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -22.51803    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -22.40303    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -22.28803    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -22.17303    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -22.05803    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -21.94303    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -21.82803    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -21.71303    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -21.59803    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -21.48303    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -21.36803    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -21.25303    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -21.13803    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -21.02303    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -20.90903    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -20.79403    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -20.67903    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -20.56403    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -20.44903    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -20.33403    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -20.21903    -0.11255    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -20.10403    -0.11256    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13853
   -19.98903    -0.11262    -0.00007    -0.02220    -0.00371     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13861
   -19.87403    -0.11314    -0.00010    -0.02223    -0.00373     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13920
   -19.75903    -0.11541    -0.00023    -0.02234    -0.00382     0.00000     0.00000     0.00000     0.00000     0.00000    -0.14180
   -19.64403    -0.12102    -0.00054    -0.02263    -0.00402     0.00000     0.00000     0.00000     0.00000     0.00000    -0.14821
   -19.52903    -0.12910    -0.00098    -0.02304    -0.00432     0.00000     0.00000     0.00000     0.00000     0.00000    -0.15745
   -19.41403    -0.13595    -0.00136    -0.02339    -0.00458     0.00000     0.00000     0.00000     0.00000     0.00000    -0.16528
   -19.29903    -0.13935    -0.00155    -0.02356    -0.00470     0.00000     0.00000     0.00000     0.00000     0.00000    -0.16916
   -19.18403    -0.14031    -0.00161    -0.02361    -0.00474     0.00000     0.00000     0.00000     0.00000     0.00000    -0.17027
   -19.06903    -0.14047    -0.00161    -0.02362    -0.00474     0.00000     0.00000     0.00000     0.00000     0.00000    -0.17045
   -18.95403    -0.14048    -0.00161    -0.02362    -0.00475     0.00000     0.00000     0.00000     0.00000     0.00000    -0.17046
   -18.83903    -0.14048    -0.00161    -0.02362    -0.00475     0.00000     0.00000     0.00000     0.00000     0.00000    -0.17046
   -18.72403    -0.14048    -0.00161    -0.02362    -0.00475     0.00000     0.00000     0.00000     0.00000     0.00000    -0.17046
   -18.60903    -0.14048    -0.00161    -0.02362    -0.00475     0.00000     0.00000     0.00000     0.00000     0.00000    -0.17046
   -18.49403    -0.14048    -0.00161    -0.02362    -0.00475     0.00000     0.00000     0.00000     0.00000     0.00000    -0.17046
   -18.37903    -0.14048    -0.00161    -0.02362    -0.00475     0.00000     0.00000     0.00000     0.00000     0.00000    -0.17046
   -18.26403    -0.14048    -0.00161    -0.02362    -0.00475     0.00000     0.00000     0.00000     0.00000     0.00000    -0.17046
   -18.14903    -0.14048    -0.00161    -0.02362    -0.00475     0.00000     0.00000     0.00000     0.00000     0.00000    -0.17046
   -18.03403    -0.14048    -0.00161    -0.02362    -0.00475     0.00000     0.00000     0.00000     0.00000     0.00000    -0.17046
   -17.91903    -0.14048    -0.00161    -0.02362    -0.00475     0.00000     0.00000     0.00000     0.00000     0.00000    -0.17046
   -17.80403    -0.14048    -0.00161    -0.02362    -0.00475     0.00000     0.00000     0.00000     0.00000     0.00000    -0.17046
   -17.68903    -0.14048    -0.00161    -0.02362    -0.00475     0.00000     0.00000     0.00000     0.00000     0.00000    -0.17046
   -17.57403    -0.14048    -0.00161    -0.02362    -0.00475     0.00000     0.00000     0.00000     0.00000     0.00000    -0.17046
   -17.45903    -0.14049    -0.00162    -0.02362    -0.00475     0.00000     0.00000     0.00000     0.00000     0.00000    -0.17047
   -17.34403    -0.14055    -0.00162    -0.02362    -0.00475     0.00000     0.00000     0.00000     0.00000     0.00000    -0.17053
