     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -29.30203     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -29.18703     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -29.07203     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.95703     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.84203     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.72703     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.61203     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.49703     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.38203     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.26703    -0.00000    -0.00000    -0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00000
   -28.15203    -0.00000    -0.00000    -0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00000
   -28.03703    -0.00000    -0.00000    -0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00000
   -27.92203    -0.00000    -0.00000    -0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00000
   -27.80703    -0.00000    -0.00000    -0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00000
   -27.69203    -0.00003    -0.00000    -0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00003
   -27.57703    -0.00053    -0.00000    -0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00053
   -27.46203    -0.00581    -0.00000    -0.00000    -0.00005     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00586
   -27.34703    -0.03649    -0.00001    -0.00000    -0.00030     0.00000     0.00000     0.00000     0.00000     0.00000    -0.03680
   -27.23203    -0.13646    -0.00002    -0.00000    -0.00113     0.00000     0.00000     0.00000     0.00000     0.00000    -0.13761
   -27.11703    -0.32409    -0.00004    -0.00000    -0.00269     0.00000     0.00000     0.00000     0.00000     0.00000    -0.32683
   -27.00203    -0.53070    -0.00007    -0.00000    -0.00441     0.00000     0.00000     0.00000     0.00000     0.00000    -0.53519
   -26.88703    -0.66456    -0.00009    -0.00000    -0.00553     0.00000     0.00000     0.00000     0.00000     0.00000    -0.67018
   -26.77203    -0.71488    -0.00010    -0.00000    -0.00594     0.00000     0.00000     0.00000     0.00000     0.00000    -0.72093
   -26.65703    -0.72561    -0.00010    -0.00000    -0.00603     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73175
   -26.54203    -0.72688    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73302
   -26.42703    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -26.31203    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -26.19703    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -26.08203    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -25.96703    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -25.85203    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -25.73703    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -25.62203    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -25.50803    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -25.39303    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -25.27803    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -25.16303    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -25.04803    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -24.93303    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -24.81803    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -24.70303    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -24.58803    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -24.47303    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -24.35803    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -24.24303    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -24.12803    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -24.01303    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -23.89803    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -23.78303    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -23.66803    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -23.55303    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -23.43803    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -23.32303    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -23.20803    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -23.09303    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -22.97803    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -22.86303    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -22.74803    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -22.63303    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -22.51803    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -22.40303    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -22.28803    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -22.17303    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -22.05803    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -21.94303    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -21.82803    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -21.71303    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -21.59803    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -21.48303    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -21.36803    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -21.25303    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -21.13803    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -21.02303    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -20.90903    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -20.79403    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -20.67903    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -20.56403    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -20.44903    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -20.33403    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -20.21903    -0.72696    -0.00010    -0.00000    -0.00604     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -20.10403    -0.72696    -0.00010    -0.00000    -0.00605     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73311
   -19.98903    -0.72700    -0.00010    -0.00000    -0.00607     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73317
   -19.87403    -0.72725    -0.00010    -0.00000    -0.00625     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73360
   -19.75903    -0.72835    -0.00010    -0.00000    -0.00704     0.00000     0.00000     0.00000     0.00000     0.00000    -0.73549
   -19.64403    -0.73106    -0.00010    -0.00000    -0.00900     0.00000     0.00000     0.00000     0.00000     0.00000    -0.74016
   -19.52903    -0.73497    -0.00011    -0.00000    -0.01181     0.00000     0.00000     0.00000     0.00000     0.00000    -0.74689
   -19.41403    -0.73828    -0.00011    -0.00001    -0.01420     0.00000     0.00000     0.00000     0.00000     0.00000    -0.75259
   -19.29903    -0.73992    -0.00011    -0.00001    -0.01538     0.00000     0.00000     0.00000     0.00000     0.00000    -0.75542
   -19.18403    -0.74039    -0.00011    -0.00001    -0.01572     0.00000     0.00000     0.00000     0.00000     0.00000    -0.75622
   -19.06903    -0.74046    -0.00011    -0.00001    -0.01577     0.00000     0.00000     0.00000     0.00000     0.00000    -0.75635
   -18.95403    -0.74047    -0.00011    -0.00001    -0.01578     0.00000     0.00000     0.00000     0.00000     0.00000    -0.75636
   -18.83903    -0.74047    -0.00011    -0.00001    -0.01578     0.00000     0.00000     0.00000     0.00000     0.00000    -0.75636
   -18.72403    -0.74047    -0.00011    -0.00001    -0.01578     0.00000     0.00000     0.00000     0.00000     0.00000    -0.75636
   -18.60903    -0.74047    -0.00011    -0.00001    -0.01578     0.00000     0.00000     0.00000     0.00000     0.00000    -0.75636
   -18.49403    -0.74047    -0.00011    -0.00001    -0.01578     0.00000     0.00000     0.00000     0.00000     0.00000    -0.75636
   -18.37903    -0.74047    -0.00011    -0.00001    -0.01578     0.00000     0.00000     0.00000     0.00000     0.00000    -0.75636
   -18.26403    -0.74047    -0.00011    -0.00001    -0.01578     0.00000     0.00000     0.00000     0.00000     0.00000    -0.75636
   -18.14903    -0.74047    -0.00011    -0.00001    -0.01578     0.00000     0.00000     0.00000     0.00000     0.00000    -0.75636
   -18.03403    -0.74047    -0.00011    -0.00001    -0.01578     0.00000     0.00000     0.00000     0.00000     0.00000    -0.75636
   -17.91903    -0.74047    -0.00011    -0.00001    -0.01578     0.00000     0.00000     0.00000     0.00000     0.00000    -0.75636
   -17.80403    -0.74047    -0.00011    -0.00001    -0.01578     0.00000     0.00000     0.00000     0.00000     0.00000    -0.75636
   -17.68903    -0.74047    -0.00011    -0.00001    -0.01578     0.00000     0.00000     0.00000     0.00000     0.00000    -0.75636
   -17.57403    -0.74047    -0.00011    -0.00001    -0.01578     0.00000     0.00000     0.00000     0.00000     0.00000    -0.75636
   -17.45903    -0.74047    -0.00011    -0.00001    -0.01578     0.00000     0.00000     0.00000     0.00000     0.00000    -0.75637
   -17.34403    -0.74048    -0.00011    -0.00001    -0.01583     0.00000     0.00000     0.00000     0.00000     0.00000    -0.75643
