     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -29.30203     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -29.18703     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -29.07203     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.95703     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.84203     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.72703     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.61203     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.49703     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.38203     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.26703     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.15203     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.03703     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -27.92203     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -27.80703     0.00007     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00007
   -27.69203     0.00111     0.00000     0.00000     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00112
   -27.57703     0.01040     0.00000     0.00000     0.00007     0.00000     0.00000     0.00000     0.00000     0.00000     0.01047
   -27.46203     0.05593     0.00001     0.00000     0.00039     0.00000     0.00000     0.00000     0.00000     0.00000     0.05633
   -27.34703     0.18233     0.00003     0.00000     0.00126     0.00000     0.00000     0.00000     0.00000     0.00000     0.18362
   -27.23203     0.38566     0.00006     0.00000     0.00266     0.00000     0.00000     0.00000     0.00000     0.00000     0.38838
   -27.11703     0.57802     0.00009     0.00000     0.00398     0.00000     0.00000     0.00000     0.00000     0.00000     0.58209
   -27.00203     0.68483     0.00011     0.00000     0.00472     0.00000     0.00000     0.00000     0.00000     0.00000     0.68966
   -26.88703     0.71905     0.00012     0.00000     0.00495     0.00000     0.00000     0.00000     0.00000     0.00000     0.72412
   -26.77203     0.72522     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73034
   -26.65703     0.72583     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73095
   -26.54203     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -26.42703     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -26.31203     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -26.19703     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -26.08203     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -25.96703     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -25.85203     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -25.73703     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -25.62203     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -25.50803     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -25.39303     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -25.27803     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -25.16303     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -25.04803     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -24.93303     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -24.81803     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -24.70303     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -24.58803     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -24.47303     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -24.35803     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -24.24303     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -24.12803     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -24.01303     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -23.89803     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -23.78303     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -23.66803     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -23.55303     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -23.43803     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -23.32303     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -23.20803     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -23.09303     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -22.97803     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -22.86303     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -22.74803     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -22.63303     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -22.51803     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -22.40303     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -22.28803     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -22.17303     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -22.05803     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -21.94303     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -21.82803     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -21.71303     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -21.59803     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -21.48303     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -21.36803     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -21.25303     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -21.13803     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -21.02303     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -20.90903     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -20.79403     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -20.67903     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -20.56403     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -20.44903     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -20.33403     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -20.21903     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -20.10403     0.72587     0.00012     0.00000     0.00500     0.00000     0.00000     0.00000     0.00000     0.00000     0.73099
   -19.98903     0.72592     0.00012     0.00000     0.00505     0.00000     0.00000     0.00000     0.00000     0.00000     0.73109
   -19.87403     0.72628     0.00012     0.00000     0.00535     0.00000     0.00000     0.00000     0.00000     0.00000     0.73175
   -19.75903     0.72764     0.00012     0.00000     0.00650     0.00000     0.00000     0.00000     0.00000     0.00000     0.73426
   -19.64403     0.73062     0.00012     0.00000     0.00904     0.00000     0.00000     0.00000     0.00000     0.00000     0.73979
   -19.52903     0.73445     0.00013     0.00001     0.01229     0.00000     0.00000     0.00000     0.00000     0.00000     0.74688
   -19.41403     0.73734     0.00013     0.00001     0.01475     0.00000     0.00000     0.00000     0.00000     0.00000     0.75223
   -19.29903     0.73862     0.00013     0.00001     0.01584     0.00000     0.00000     0.00000     0.00000     0.00000     0.75459
   -19.18403     0.73894     0.00013     0.00001     0.01611     0.00000     0.00000     0.00000     0.00000     0.00000     0.75519
   -19.06903     0.73899     0.00013     0.00001     0.01615     0.00000     0.00000     0.00000     0.00000     0.00000     0.75527
   -18.95403     0.73899     0.00013     0.00001     0.01615     0.00000     0.00000     0.00000     0.00000     0.00000     0.75528
   -18.83903     0.73899     0.00013     0.00001     0.01615     0.00000     0.00000     0.00000     0.00000     0.00000     0.75528
   -18.72403     0.73899     0.00013     0.00001     0.01615     0.00000     0.00000     0.00000     0.00000     0.00000     0.75528
   -18.60903     0.73899     0.00013     0.00001     0.01615     0.00000     0.00000     0.00000     0.00000     0.00000     0.75528
   -18.49403     0.73899     0.00013     0.00001     0.01615     0.00000     0.00000     0.00000     0.00000     0.00000     0.75528
   -18.37903     0.73899     0.00013     0.00001     0.01615     0.00000     0.00000     0.00000     0.00000     0.00000     0.75528
   -18.26403     0.73899     0.00013     0.00001     0.01615     0.00000     0.00000     0.00000     0.00000     0.00000     0.75528
   -18.14903     0.73899     0.00013     0.00001     0.01615     0.00000     0.00000     0.00000     0.00000     0.00000     0.75528
   -18.03403     0.73899     0.00013     0.00001     0.01615     0.00000     0.00000     0.00000     0.00000     0.00000     0.75528
   -17.91903     0.73899     0.00013     0.00001     0.01615     0.00000     0.00000     0.00000     0.00000     0.00000     0.75528
   -17.80403     0.73899     0.00013     0.00001     0.01615     0.00000     0.00000     0.00000     0.00000     0.00000     0.75528
   -17.68903     0.73899     0.00013     0.00001     0.01615     0.00000     0.00000     0.00000     0.00000     0.00000     0.75528
   -17.57403     0.73899     0.00013     0.00001     0.01615     0.00000     0.00000     0.00000     0.00000     0.00000     0.75528
   -17.45903     0.73899     0.00013     0.00001     0.01617     0.00000     0.00000     0.00000     0.00000     0.00000     0.75530
   -17.34403     0.73904     0.00013     0.00001     0.01635     0.00000     0.00000     0.00000     0.00000     0.00000     0.75553
   -17.22903     0.73940     0.00015     0.00001     0.01784     0.00000     0.00000     0.00000     0.00000     0.00000     0.75739
   -17.11403     0.74097     0.00025     0.00001     0.02436     0.00000     0.00000     0.00000     0.00000     0.00000     0.76559
   -16.99903     0.74491     0.00059     0.00001     0.04067     0.00000     0.00000     0.00000     0.00000     0.00000     0.78618
   -16.88403     0.75065     0.00126     0.00002     0.06440     0.00000     0.00000     0.00000     0.00000     0.00000     0.81632
   -16.76903     0.75556     0.00206     0.00002     0.08473     0.00000     0.00000     0.00000     0.00000     0.00000     0.84237
   -16.65403     0.75803     0.00262     0.00003     0.09493     0.00000     0.00000     0.00000     0.00000     0.00000     0.85560
   -16.53903     0.75874     0.00284     0.00003     0.09787     0.00000     0.00000     0.00000     0.00000     0.00000     0.85949
   -16.42503     0.75886     0.00289     0.00003     0.09835     0.00000     0.00000     0.00000     0.00000     0.00000     0.86013
   -16.31003     0.75887     0.00290     0.00003     0.09839     0.00000     0.00000     0.00000     0.00000     0.00000     0.86019
